event_key,evidence_grade,reason_modules,attribution_summary,source_basename,source_line,source_url,source_sha256,pre_state_summary,prior_market_summary,remaining_unknown
2018-10-30:117:03,C,valuation_region;consumer_view;new_sleeve,作者页面讨论消费行业且平台首次买消费一单位;仍不能证明消费观点就是唯一触发,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码0→1;消费袖套0→1;现金代理单位32（非权重）,截至2018-10-29:R20-17.2%;R60-25.0%;R252-19.4%;DD252-32.8%;P252=0.4%,消费观点与下单因果/目标仓位未知
2018-10-30:117:04,C,valuation_region;batch_accumulation,作者以钻石底说明整体语境且平台同日买创业板但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码1→2;成长袖套3→4;现金代理单位32（非权重）,截至2018-10-29:R20-10.5%;R60-20.1%;R252-31.0%;DD252-32.7%;P252=2.4%,评价体系/该腿选择原因未知
2018-10-30:117:05,C,valuation_region;batch_accumulation,作者以钻石底说明整体语境且平台同日买中证500但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码2→3;中盘袖套23→24;现金代理单位32（非权重）,截至2018-10-29:R20-12.1%;R60-19.0%;R252-28.5%;DD252-30.8%;P252=2.0%,评价体系/该腿选择原因未知
2018-10-30:117:06,A,unspecified_strategy,题名与平台只确认同日买入可转债一单位;钻石底权益语境不能自动归给债券腿,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码3→4;可转债袖套3→4;现金代理单位32（非权重）,截至2018-10-29:R20-3.1%;R60-5.2%;R252-11.3%;DD252-17.5%;P252=1.6%,债券腿触发/配置目标未知
2018-10-30:117:07,A,funding_leg;unspecified_strategy,题名与平台确认卖出海外债一单位但作者转载未说明该腿理由,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码3→2;海外债袖套3→2;现金代理单位32（非权重）,截至2018-10-29:R20+1.0%;R60+2.1%;R252+2.6%;DD252-0.6%;P252=94.4%,是否为权益买入供资/债券超配/产品原因未知
2018-10-30:117:08,A,funding_leg;unspecified_strategy,题名与平台确认卖出纯债一单位但作者转载未说明该腿理由,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码2→1;信用债袖套3→2;现金代理单位32（非权重）,截至2018-10-29:R20-0.2%;R60+0.3%;R252+1.0%;DD252-0.7%;P252=82.5%,是否为权益买入供资/债券超配/产品原因未知
2018-12-27:120:01,C,model_data;low_buy_high_sell;fear_control,作者称根据模型数据低买高卖并在大跌中买三份但未点名养老指数,E大_2019早期发车片段与左右侧执行边界_来源合同.md,23,https://youzhiyouxing.cn/materials/750,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码10→11;养老袖套10→11;现金代理单位22（非权重）,截至2018-12-26:R20-5.3%;R60-9.8%;R252-23.7%;DD252-28.8%;P252=4.8%,模型/暂停条件/该腿选择原因未知
2018-12-27:120:02,C,model_data;low_buy_high_sell;fear_control,作者称根据模型数据低买高卖并在大跌中买三份但未点名红利,E大_2019早期发车片段与左右侧执行边界_来源合同.md,23,https://youzhiyouxing.cn/materials/750,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码13→14;红利袖套13→14;现金代理单位22（非权重）,截至2018-12-26:R20-1.1%;R60-7.4%;R252-26.3%;DD252-31.3%;P252=3.6%,模型/暂停条件/该腿选择原因未知
2018-12-27:120:03,A,unspecified_strategy,题名与平台只确认同日买入油气一单位;作者一般性模型表述不能自动归为油气腿理由,E大_2019早期发车片段与左右侧执行边界_来源合同.md,23,https://youzhiyouxing.cn/materials/750,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码1→2;油气袖套2→3;现金代理单位22（非权重）,截至2018-12-26:R20-19.2%;R60-36.0%;R252-19.2%;DD252-38.1%;P252=2.0%,油气价值口径/配置目的/买入阈值未知
2019-04-26:126:01,D,right_side_buy;second_buy_point;swing_allocation,作者明说先买一份传媒并以价值仓大部完成后保留机动仓/回踩第二买点说明,E大_2019早期发车片段与左右侧执行边界_来源合同.md,24,https://youzhiyouxing.cn/materials/664,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码5→6;传媒袖套5→6;现金代理单位17（非权重）,截至2019-04-25:R20-2.8%;R60+23.0%;R252-10.7%;DD252-12.6%;P252=69.0%,第二买点定义/机动仓比例/合适位置阈值未知
2019-06-18:129:01,D,swing_reentry;time_space;value_price_emotion,作者明说150买500C作为波段对象且每份之间留足空间,E大_2019早期发车片段与左右侧执行边界_来源合同.md,25,https://youzhiyouxing.cn/materials/711,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码1→2;中盘袖套24→25;现金代理单位13（非权重）,截至2019-06-17:R20-2.5%;R60-11.6%;R252-14.8%;DD252-16.8%;P252=46.4%,空间阈值/批次成本/价值与情绪数据未知
2019-06-18:129:02,A,unspecified_strategy,平台确认同日另买一份偏债但作者500C波段理由不能归给债券腿,E大_2019早期发车片段与左右侧执行边界_来源合同.md,25,https://youzhiyouxing.cn/materials/711,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码3→4;偏债袖套3→4;现金代理单位13（非权重）,截至2019-06-17:R20-1.6%;R60-5.9%;R252+1.2%;DD252-7.3%;P252=69.4%,债券腿触发/配置目标/资金用途未知
2019-07-01:130:01,D,right_side_buy;opaque_system;hard_to_value_asset,作者称部分难界定价值资产会在形态走出后右侧操作且该期唯一一份由系统决定;平台定位为黄金,E大_2019早期发车片段与左右侧执行边界_来源合同.md,26,https://youzhiyouxing.cn/materials/665,bf3872bc8a752e76fad5c315a7b62538afd713ea63af6c0851d0c6ab855ba852,代码1→2;黄金袖套1→2;现金代理单位11（非权重）,截至2019-06-30:R20+8.2%;R60+11.5%;R252+17.4%;DD252-1.6%;P252=99.2%,形态/系统版本/指标阈值/退出规则未知
